Sample index	Multipacting max (uA)	Pressure max (mBar)	P transmise moy (W)	NI9205_E1	NI9205_E2	NI9205_E3	NI9205_E4	NI9205_E5	NI9205_E6	NI9205_E7	NI9205_MP1l	NI9205_MP2l	NI9205_MP3l	NI9205_MP4l	NI9205_MP5l	NI9205_MP6l	NI9205_MP7l	NI9205_Power1	NI9205_Power2	NI9205_Arc1	NI9205_Penning1	NI9205_Penning2	NI9205_Penning	NI9205_MP8l	T1	T2	T3	T4
0	10.78	0.00000005674	14.65	66.7	0.02779	0.02991	0.02734	0.02457	0.02557	0.02597	10.78	10.46	10.13	12.1	10.78	10.46	10.78	32.76	3.574	0.9276	0.00000005674	0.0000001067	0.004761	8.838	1413.09	1413.09	1413.09	1413.09
1	11.44	0.00000005667	28.3	67.29	0.02795	0.03011	0.02756	0.02476	0.02577	0.02624	11.44	10.46	10.13	11.44	11.11	10.46	10.13	33.74	3.673	0.9545	0.00000005667	0.0000001064	0.004761	8.674	1413.09	1413.09	1413.09	1413.09
2	11.11	0.00000005677	28.57	69.24	0.02863	0.03092	0.02834	0.02547	0.02641	0.02694	11.11	10.13	9.799	11.44	10.78	10.46	10.46	34.07	4	0.989	0.00000005677	0.0000001064	0.004761	8.838	1413.09	1413.09	1413.09	1413.09
3	8.814	0.00000005667	30.37	69.96	0.02892	0.03126	0.02859	0.02568	0.02671	0.02717	8.814	8.157	7.829	9.142	8.814	8.157	9.799	36.04	3.673	0.9729	0.00000005667	0.0000001065	0.004761	8.838	1413.09	1413.09	1413.09	1413.09
4	9.47	0.00000005671	30.79	70.66	0.02918	0.03159	0.02885	0.02594	0.02693	0.02743	9.47	8.814	8.486	10.46	8.814	8.814	10.78	36.37	3.673	0.9545	0.00000005671	0.0000001064	0.004761	8.838	1413.09	1413.09	1413.09	1413.09
5	9.799	0.00000005671	31.88	71.65	0.02959	0.03212	0.0292	0.02629	0.02733	0.02783	9.799	9.142	9.142	10.46	9.142	10.13	10.78	37.02	3.673	0.9801	0.00000005671	0.0000001066	0.004761	9.003	1413.09	1413.09	1413.09	1413.09
6	11.11	0.00000005671	32.84	72.53	0.02982	0.03246	0.0295	0.0266	0.02757	0.02817	11.11	10.13	9.799	11.11	10.78	10.46	10.46	38.01	4	0.9808	0.00000005671	0.0000001064	0.004761	8.674	1413.09	1413.09	1413.09	1413.09
7	8.814	0.00000005658	33.39	73.52	0.0302	0.03291	0.02986	0.02688	0.0279	0.02846	8.814	7.501	7.501	8.814	8.486	7.501	9.142	38.99	3.673	0.9933	0.00000005658	0.0000001061	0.004761	8.018	1413.09	1413.09	1413.09	1413.09
8	8.814	0.00000005667	34.57	74.46	0.03055	0.03331	0.03022	0.02718	0.02821	0.02877	8.814	8.486	7.829	9.47	8.814	8.157	10.13	40.3	4	0.9729	0.00000005667	0.0000001063	0.004761	8.018	1413.09	1413.09	1413.09	1413.09
9	10.13	0.00000005667	35.52	75.3	0.03089	0.03362	0.03044	0.02743	0.02855	0.02903	10.13	7.501	7.173	8.814	8.157	8.157	8.814	40.96	4.328	0.9939	0.00000005667	0.0000001062	0.004761	8.182	1413.09	1413.09	1413.09	1413.09
10	9.47	0.00000005674	36.12	75.96	0.03117	0.03402	0.03073	0.02778	0.02878	0.02932	9.47	8.814	8.814	9.799	9.142	8.486	10.78	41.94	3.673	1.029	0.00000005674	0.0000001064	0.004761	9.003	1413.09	1413.09	1413.09	1413.09
11	10.46	0.00000005674	37.36	76.87	0.03151	0.03439	0.03106	0.02797	0.02902	0.02962	10.46	9.799	9.142	10.78	10.78	10.13	10.13	42.27	3.673	0.9903	0.00000005674	0.0000001065	0.004761	9.167	1413.09	1413.09	1413.09	1413.09
12	10.78	0.00000005683	37.72	77.6	0.03181	0.03472	0.03134	0.02825	0.02935	0.02984	10.78	10.78	10.13	11.77	10.78	10.46	10.13	43.25	4	0.9424	0.00000005683	0.0000001064	0.004761	8.674	1413.09	1413.09	1413.09	1413.09
